carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
null,Other,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1999,31900,kilometer,E 320, Elégance 4-Matic,true,car,null,1,null
null,Other,null,CHF,null,Zuzwil,CH,Lamborghini,1973,48000,kilometer,null,Espada GT 400 Serie 3,true,car,null,4,null
null,Silver,null,CHF,null,Zuzwil,CH,Datsun,1969,23300,kilometer,null,SPORTS 2000,true,car,null,7,null
null,Silver,null,CHF,null,Zuzwil,CH,Audi,1997,66300,kilometer,A8, 4.2 quattro,true,car,null,1,null
null,Silver,null,CHF,null,Zuzwil,CH,BMW,2004,27600,kilometer,745,i,true,car,null,12,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,1992,123000,kilometer,911, Carrera 2 RS,true,car,null,1,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2002,53800,kilometer,E 55 AMG, Avantgarde,true,car,null,11,null
null,Silver,null,CHF,null,Zuzwil,CH,Lamborghini,1993,14990,kilometer,DIABLO,Diablo 5.7 VT,true,car,null,8,null
null,Silver,null,CHF,null,Sursee,CH,Mercedes-Benz,1960,1000,kilometer,null,300SL Roadster,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Alfa Romeo,2008,37000,kilometer,8C, Coupé,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Wiesmann,2008,34600,kilometer,COUPE,GT MF5,true,car,null,7,null
null,Blue,null,CHF,null,Zuzwil,CH,Porsche,2009,52000,kilometer,911, Turbo Cabrio,true,car,null,12,null
null,Silver,null,CHF,null,Zuzwil,CH,Renault,1969,9999,kilometer,Alpine A110, 1300S,true,car,null,9,null
null,Silver,null,CHF,null,Zuzwil,CH,Maserati,2002,62300,kilometer,COUPÉ GT,Coupé GT,true,car,null,6,null
null,Silver,null,CHF,null,Zuzwil,CH,Chevrolet,2010,24000,kilometer,CORVETTE,Corvette Z06,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2000,79500,kilometer,CLK 55 AMG, Avantgarde,true,car,null,6,null
null,Silver,null,CHF,null,Zuzwil,CH,Audi,2014,3600,kilometer,S7, Sportback 4.0 TFSI V8 quattro,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2002,52400,kilometer,E 55 AMG, Avantgarde,true,car,null,10,null
null,Silver,null,CHF,null,Zuzwil,CH,BMW,2004,79100,kilometer,645,i,true,car,null,1,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,2000,77000,kilometer,911, GT3,true,car,null,1,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1996,87800,kilometer,E 420, Avantgarde,true,car,null,11,null
null,Silver,null,CHF,null,Zuzwil,CH,Aston Martin,2013,17000,kilometer,DB9, Volante,true,car,null,5,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2001,57500,kilometer,RS4, Avant quattro,true,car,null,7,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,2001,49900,kilometer,911, GT2,true,car,null,11,null
null,Silver,null,CHF,null,Zuzwil,CH,Toyota,1981,79300,kilometer,CELICA, 1600 GT DOHC,true,car,null,10,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1992,152000,kilometer,190, E 2.5-16 ABS,true,car,null,4,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,2005,39400,kilometer,911, Carrera S,true,car,null,8,null
null,Silver,null,CHF,null,Zuzwil,CH,BMW,2002,60100,kilometer,X5, 4.4i,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Ford,1978,96600,kilometer,ESCORT, RS 2000,true,car,null,3,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,2006,101200,kilometer,911, Carrera 4S,true,car,null,2,null
null,Silver,null,CHF,null,Zuzwil,CH,Toyota,1982,5000,kilometer,LAND CRUISER, FJ 40,true,car,null,2,null
null,Silver,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1996,27600,kilometer,SL 500,,true,car,null,10,null
null,Silver,null,CHF,null,Zuzwil,CH,Porsche,2001,53400,kilometer,911, GT2,true,car,null,9,null
null,Silver,null,CHF,null,Porrentruy,CH,Lamborghini,2003,9000,kilometer,MURCIÉLAGO,Murciélago 6.2 Coupé,true,car,null,2,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2003,26300,kilometer,A8, 4.2 quattro,true,car,null,11,null
null,Silver,null,CHF,null,Zuzwil,CH,Audi,1999,101800,kilometer,A8, 4.2 quattro,true,car,null,10,null
null,Silver,null,CHF,null,Zuzwil,CH,Renault,1973,75700,kilometer,Alpine A110, 1300,true,car,null,0,null
null,Silver,null,CHF,null,Zuzwil,CH,Maserati,2005,33500,kilometer,QUATTROPORTE,Quattroporte 4.2,true,car,null,10,null
null,Other,null,CHF,null,Zuzwil,CH,Jaguar,1956,5300,kilometer,null,D-Type XKD525,true,car,null,7,null
null,Other,null,CHF,null,Zuzwil,CH,Chevrolet,1967,21300,kilometer,CORVETTE, C2,true,car,null,6,null
null,Other,null,CHF,null,Zuzwil,CH,Renault,1982,77900,kilometer,R5, 1400 Alpine Turbo,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Maserati,2002,95300,kilometer,COUPÉ GT,Coupé GT,true,car,null,7,null
null,White,null,CHF,null,Zuzwil,CH,Aston Martin,2010,9000,kilometer,V8 Vantage, 4.7,true,car,null,7,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2002,148300,kilometer,ML 400, CDI,true,car,null,2,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2014,100,kilometer,RS6, Avant 4.0 TFSI V8 qu,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Triumph,1977,10800,kilometer,Dolomite, Sprint,true,car,null,6,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2003,115000,kilometer,CAYENNE,Cayenne S,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Audi,2003,101300,kilometer,A8, 4.2 quattro,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2001,47500,kilometer,CLK 55 AMG, Avantgarde,true,car,null,11,null
null,Blue,null,CHF,null,Zuzwil,CH,Maserati,2003,61400,kilometer,COUPÉ GT,Coupé GT,true,car,null,8,null
null,White,null,CHF,null,Zuzwil,CH,BMW,2000,49700,kilometer,330,i,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Audi,1997,94700,kilometer,A8, 4.2 quattro,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2011,14000,kilometer,911, Turbo S Cabrio,true,car,null,7,null
null,White,null,CHF,null,Zuzwil,CH,McLaren,2012,23000,kilometer,12C,MP4- Coupé 3.8 V8,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Ferrari,2007,22000,kilometer,599, GTB,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2008,46000,kilometer,S 63 AMG, L,true,car,null,4,null
null,Blue,null,CHF,null,Zuzwil,CH,Audi,2002,81000,kilometer,RS6, Avant quattro,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2006,62300,kilometer,S 500, 4Matic,true,car,null,11,null
null,White,null,CHF,null,Zuzwil,CH,BMW,1998,85400,kilometer,740,i,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,De Tomaso,1974,68100,kilometer,PANTERA,,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2009,30300,kilometer,PANAMERA,Panamera Turbo 4.8,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Alfa Romeo,1970,106000,kilometer,SPIDER, 1300 Junior,true,car,null,3,null
null,Blue,null,CHF,null,Zuzwil,CH,VW,2003,37800,kilometer,PHAETON,Phaeton 6.0 W12 4Motion,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Bentley,2000,85700,kilometer,ARNAGE, Red Label,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2003,12200,kilometer,CL 600,,true,car,null,9,null
null,White,null,CHF,null,Zuzwil,CH,Renault,1988,98600,kilometer,ALPINE,Alpine V6 Turbo,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,2013,10400,kilometer,CLS 500,,true,car,null,5,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2001,30100,kilometer,911, Turbo,true,car,null,10,null
null,White,null,CHF,null,Zuzwil,CH,Ferrari,2003,39000,kilometer,575M,,true,car,null,4,null
null,White,null,CHF,null,Zuzwil,CH,Mercedes-Benz,1991,197800,kilometer,SL 500,,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Peugeot,1984,58950,kilometer,205, Turbo 16V,true,car,null,11,null
null,White,null,CHF,null,Zuzwil,CH,Jaguar,1996,25000,kilometer,XJ 220,,true,car,null,5,null
null,White,null,CHF,null,Zuzwil,CH,Porsche,2012,1000,kilometer,CAYENNE,Cayenne S,true,car,null,6,null
null,White,null,CHF,null,Zuzwil,CH,Rolls-Royce,2004,56000,kilometer,PHANTOM,Phantom 6.7 V12,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Bentley,2006,43000,kilometer,CONTINENTAL,Continental FlyingSpur6.0,true,car,null,1,null
null,White,null,CHF,null,Zuzwil,CH,Renault,2004,145000,kilometer,ESPACE,Espace 2.0 T Privilège,true,car,null,3,null
null,White,null,CHF,null,Zuzwil,CH,Jaguar,1999,103000,kilometer,XK,R S/C,true,car,null,11,null
