MakeText,BodyColorText,ModelTypeText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,ModelText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
Mercedes-Benz,Other, Elégance 4-Matic,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,1.0,grau,31900,E 320,"""""""Ab MFK""""""",5,Automat,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic
Lamborghini,Other,Espada GT 400 Serie 3,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,10.0,schwarz,48000,null,"""""""Ab MFK""""""",4,Schaltgetriebe,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3
Datsun,Silver,SPORTS 2000,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,1002.0,schwarz,23300,null,"""""""Ab MFK""""""",2,null,SPORTS 2000,DATSUN SPORTS 2000
Audi,Silver, 4.2 quattro,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,1003.0,schwarz,66300,A8,"""""""Ab MFK""""""",5,Automat,A8 4.2 quattro,AUDI A8 4.2 quattro
BMW,Silver,i,Limousine,4398,Zuzwil,276 g/km,Occasion,G,11.4 l/100km,4,Hinterradantrieb,12,2004,Benzin,333,1008.0,schwarz,27600,745,"""""""Ab MFK""""""",5,Automat sequentiell,745i,BMW 745i
Porsche,Silver, Carrera 2 RS,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1992,Benzin,260,1009.0,schwarz,123000,911,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,911 Carrera 2 RS,PORSCHE 911 Carrera 2 RS
Mercedes-Benz,Silver, Avantgarde,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,11,2002,Benzin,476,1010.0,schwarz,53800,E 55 AMG,"""""""Ab MFK""""""",5,Automat sequentiell,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde
Lamborghini,Silver,Diablo 5.7 VT,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Allrad,8,1993,Benzin,492,1012.0,schwarz,14990,DIABLO,"""""""Ab MFK""""""",2,Schaltgetriebe manuell,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT
Mercedes-Benz,Silver,300SL Roadster,Cabriolet,2995,Sursee,null,Occasion,null,null,2,null,3,1960,Benzin,215,1013.0,braun,1000,null,null,2,null,300SL Roadster,MERCEDES-BENZ 300SL Roadster
Alfa Romeo,Silver, Coupé,Coupé,4691,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2008,null,450,1014.0,schwarz,37000,8C,null,0,Automatik-Getriebe,Coupé,ALFA ROMEO 8C Coupé
