BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,ID,InteriorColorText,Km,MakeText,ModelText,ModelTypeText,Properties,Seats,TransmissionTypeText,TypeName,TypeNameFull
anthrazit,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,1.0,grau,31900,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,"""Ab MFK""",5,Automat,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic
anthrazit mét.,Coupé,3929,Zuzwil,null,Oldtimer,null,null,2,Hinterradantrieb,4,1973,Benzin,350,10.0,schwarz,48000,LAMBORGHINI,null,Espada GT 400 Serie 3,"""Ab MFK""",4,Schaltgetriebe,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3
silber mét.,Cabriolet,2000,Zuzwil,null,Occasion,null,null,2,null,7,1969,Benzin,143,1002.0,schwarz,23300,DATSUN,null,SPORTS 2000,"""Ab MFK""",2,null,SPORTS 2000,DATSUN SPORTS 2000
silber mét.,Limousine,4172,Zuzwil,322 g/km,Occasion,null,13.5 l/100km,4,Allrad,1,1997,Benzin,300,1003.0,schwarz,66300,AUDI,A8,A8 4.2 quattro,"""Ab MFK""",5,Automat,A8 4.2 quattro,AUDI A8 4.2 quattro
silber mét.,Limousine,4398,Zuzwil,276 g/km,Occasion,G,11.4 l/100km,4,Hinterradantrieb,12,2004,Benzin,333,1008.0,schwarz,27600,BMW,745,745i,"""Ab MFK""",5,Automat sequentiell,745i,BMW 745i
silber mét.,Coupé,3598,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,1,1992,Benzin,260,1009.0,schwarz,123000,PORSCHE,911,911 Carrera 2 RS,"""Ab MFK""",2,Schaltgetriebe manuell,911 Carrera 2 RS,PORSCHE 911 Carrera 2 RS
silber mét.,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,11,2002,Benzin,476,1010.0,schwarz,53800,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,"""Ab MFK""",5,Automat sequentiell,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde
silber mét.,Coupé,5707,Zuzwil,null,Occasion,null,null,2,Allrad,8,1993,Benzin,492,1012.0,schwarz,14990,LAMBORGHINI,DIABLO,Diablo 5.7 VT,"""Ab MFK""",2,Schaltgetriebe manuell,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT
silber mét.,Cabriolet,2995,Sursee,null,Occasion,null,null,2,null,3,1960,Benzin,215,1013.0,braun,1000,MERCEDES-BENZ,null,300SL Roadster,null,2,null,300SL Roadster,MERCEDES-BENZ 300SL Roadster
silber mét.,Coupé,4691,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2008,null,450,1014.0,schwarz,37000,ALFA ROMEO,8C,8C Coupé,null,0,Automatik-Getriebe,Coupé,ALFA ROMEO 8C Coupé
silber mét.,Coupé,4999,Zuzwil,null,Occasion,G,14.1 l/100km,2,Hinterradantrieb,7,2008,Benzin,507,1019.0,schwarz,34600,WIESMANN,COUPE,GT MF5,"""Ab MFK""",2,Automatisiertes Schaltgetriebe,GT MF5,WIESMANN GT MF5
blau mét.,Cabriolet,3800,Zuzwil,270 g/km,Occasion,G,11.5 l/100km,2,Allrad,12,2009,Benzin,500,102.0,mehrfarbig,52000,PORSCHE,911,911 Turbo Cabrio,"""Ab MFK"", ""Direkt-/Parallelimport""",4,Automatisiertes Schaltgetriebe,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio
silber mét.,Coupé,1296,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,9,1969,Benzin,0,1021.0,schwarz,9999,RENAULT,Alpine A110,Alpine A110 1300S,"""Ab MFK""",0,Schaltgetriebe,1300S,RENAULT Alpine A110 1300S
silber mét.,Coupé,4244,Zuzwil,400 g/km,Occasion,null,17.5 l/100km,2,Hinterradantrieb,6,2002,Benzin,390,1022.0,braun,62300,MASERATI,COUPÉ GT,Coupé GT,"""Ab MFK""",4,Automatik-Getriebe,Coupé GT,MASERATI Coupé GT
